"Basin","Region","Site","Reference","Latitude","Longitude","RSL","Age","RSL_err","Age_err"
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.161495297,1218,-0.327782424,67
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.603073499,1196.975,-0.128235062,69.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.174194875,1157,-0.337121439,77
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.846135229,1041.9,-0.222452264,138.1
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.166083182,986.975,-0.363760683,148.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.289220926,943.95,-0.237702883,145.05
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.275086878,908,-0.317145112,135
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.39276596,875,-0.211202059,127
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.320817495,845.975,-0.296749864,114.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.435719088,787.975,-0.254623882,104.525
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.407256345,732,-0.232737514,113
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.388987984,703,-0.314879261,112
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.306846042,674.975,-0.265829057,111.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.886816802,654.975,-0.264495876,98.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.364334451,633.975,-0.256427558,81.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.874400252,597.975,-0.160529231,66.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.108616992,567,-0.286144572,77
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.916291664,545.975,-0.229410772,85.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.408811812,516.925,-0.283060906,99.075
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.231807838,499.975,-0.327575572,104.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.388931003,480,-0.283305739,111
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.145588348,466.975,-0.176923368,112.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.110654676,440.975,-0.219642743,114.525
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.221190535,394.975,-0.299069502,134.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.962276512,367.925,-0.173974453,139.075
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.150760632,340.975,-0.253686043,143.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.05810961,298.975,-0.185089706,166.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.16264845,272.925,-0.138001073,172.075
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,0,2006.7,0.15,0.9
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.02,2002.6,0.13,2.1
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.01,1999,0.14,2.5
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.08,1995.5,0.15,2.9
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.05,1991.9,0.14,3.1
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.08,1988.1,0.16,3.5
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.07,1984.1,0.13,3.7
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.09,1979.5,0.16,4.1
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.06,1974.4,0.14,4.4
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.11,1968.7,0.19,5
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.06,1962.5,0.16,5.8
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.12,1956,0.13,7
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.12,1949.3,0.13,8.3
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.15,1942.2,0.14,9.5
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.16,1934.8,0.15,10.7
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.18,1927,0.12,12
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.2,1919,0.16,12.9
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.21,1911,0.11,13.7
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.16,1902.9,0.12,14.8
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.21,1894.9,0.13,15.9
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.22,1887,0.15,16.9
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.2,1878.9,0.13,17.7
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.23,1870.9,0.15,18.2
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.27,1862.7,0.19,18.6
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.26,1854.5,0.15,18.9
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.28,1846.3,0.15,19.2
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.31,1838.1,0.18,19.4
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.3,1830,0.17,19.7
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.3,1822.1,0.12,20
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.3,1814,0.15,20.3
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.31,1806,0.13,20.3
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,0,2005.5,0.19,1.6
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,0.03,1999.8,0.18,3.3
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,0.03,1994.9,0.14,3.6
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,0.01,1989.6,0.15,4
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.04,1983.9,0.18,3.9
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.01,1977.4,0.16,4.3
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.04,1970.4,0.17,5.1
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.03,1962.9,0.13,6.3
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.06,1955.3,0.17,7.4
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.05,1947.9,0.14,8.5
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.08,1940.4,0.17,9.7
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.05,1933,0.13,10.5
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.11,1925.7,0.19,11.4
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.11,1918.4,0.14,12.1
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.12,1911.3,0.17,12.7
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.1,1904,0.17,13
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.1,1896.7,0.13,13.2
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.15,1889.3,0.16,13.4
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.13,1882,0.14,13.3
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.15,1874.7,0.16,13.2
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.19,1867.3,0.18,13
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.19,1859.9,0.16,12.8
"North Atlantic","Ireland","Bull Island","Roseby et al (In progress)",53.3705,-6.144,-0.22,1852.5,0.17,12.4
