Basin,Region,Site,Reference,Longitude,Latitude,Age,RSL,Age_err,RSL_err
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1994.9,0.03,3.6,0.14
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1989.6,0.01,4,0.15
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1983.9,-0.04,3.9,0.18
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1977.4,-0.01,4.3,0.16
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1970.4,-0.04,5.1,0.17
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1962.9,-0.03,6.3,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1955.3,-0.06,7.4,0.17
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1947.9,-0.05,8.5,0.14
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1940.4,-0.08,9.7,0.17
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1933,-0.05,10.5,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1925.7,-0.11,11.4,0.19
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1918.4,-0.11,12.1,0.14
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1911.3,-0.12,12.7,0.17
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1904,-0.1,13,0.17
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1896.7,-0.1,13.2,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1889.3,-0.15,13.4,0.16
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1882,-0.13,13.3,0.14
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1874.7,-0.15,13.2,0.16
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1867.3,-0.19,13,0.18
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1859.9,-0.19,12.8,0.16
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1852.5,-0.22,12.4,0.17
